,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.016329606374104817,0.0028500768846046022,0.0016541481018066406,0.0004744538510057247,gini,3,20,50,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 50, 'n_estimators': 10}",0.7305389221556886,0.7065868263473054,0.7349397590361446,0.724,0.012461509891316258,46,0.7387387387387387,0.7117117117117117,0.7365269461077845,0.7289924655194117,0.01225265537974901
1,0.03316847483317057,0.0008609624976539079,0.0023317337036132812,0.0004712018568280267,gini,3,20,50,30,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 50, 'n_estimators': 30}",0.718562874251497,0.718562874251497,0.7228915662650602,0.72,0.002038515227566548,79,0.7147147147147147,0.7177177177177178,0.7275449101796407,0.7199924475373578,0.005479311132573852
2,0.055640220642089844,0.0023514692281545045,0.003331422805786133,0.00047120177640471074,gini,3,20,50,50,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 50, 'n_estimators': 50}",0.718562874251497,0.7125748502994012,0.7228915662650602,0.718,0.0042284861630640875,97,0.7207207207207207,0.7147147147147147,0.7245508982035929,0.7199954445463428,0.00404822146574353
3,0.07429083188374837,0.0004714093568932895,0.004337151845296224,0.00047974361651531913,gini,3,20,50,70,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 50, 'n_estimators': 70}",0.7485029940119761,0.7125748502994012,0.7168674698795181,0.726,0.016031865318071964,31,0.7387387387387387,0.7177177177177178,0.7395209580838323,0.7319924715134296,0.01009882546708947
4,0.09593963623046875,0.0008161838624937933,0.0060024261474609375,9.44290084594352e-06,gini,3,20,50,90,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 50, 'n_estimators': 90}",0.7245508982035929,0.7125748502994012,0.7228915662650602,0.72,0.005301663903097244,79,0.7207207207207207,0.7147147147147147,0.718562874251497,0.7179994365623107,0.0024840992409377962
5,0.011327425638834635,0.00047159529765035196,0.0013265609741210938,0.0004759907760787466,gini,3,20,70,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 70, 'n_estimators': 10}",0.7125748502994012,0.718562874251497,0.7168674698795181,0.716,0.002522305085049744,127,0.7147147147147147,0.7147147147147147,0.7275449101796407,0.7189914465363567,0.006048212144798723
6,0.048972527186075844,0.00919620467412866,0.002999385197957357,0.0008176076420959996,gini,3,20,70,30,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 70, 'n_estimators': 30}",0.7544910179640718,0.7125748502994012,0.7168674698795181,0.728,0.018841675337636338,18,0.7417417417417418,0.7207207207207207,0.7155688622754491,0.7260104415793038,0.011320799882239429
7,0.1056062380472819,0.011720637337060821,0.005330403645833333,0.0012471074962884447,gini,3,20,70,50,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 70, 'n_estimators': 50}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7237237237237237,0.7147147147147147,0.7155688622754491,0.7180024335712959,0.004060563406727222
8,0.13025951385498047,0.02509059322282298,0.008994181950887045,0.004964258647314903,gini,3,20,70,70,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 70, 'n_estimators': 70}",0.7245508982035929,0.7125748502994012,0.7228915662650602,0.72,0.005301663903097244,79,0.7237237237237237,0.7147147147147147,0.7245508982035929,0.7209964455473438,0.004454672535307816
9,0.14591511090596518,0.03008184216538972,0.011663118998209635,0.004107275764963513,gini,3,20,70,90,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 70, 'n_estimators': 90}",0.718562874251497,0.7125748502994012,0.7228915662650602,0.718,0.0042284861630640875,97,0.7177177177177178,0.7147147147147147,0.7215568862275449,0.7179964395533257,0.0028002490542782944
10,0.04197533925374349,0.00962001644849396,0.002333482106526693,0.0004694607056342504,gini,3,20,90,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 90, 'n_estimators': 10}",0.7425149700598802,0.7125748502994012,0.7168674698795181,0.724,0.013228181183862181,46,0.7417417417417418,0.7177177177177178,0.7125748502994012,0.724011436586287,0.012711807162365711
11,0.06229726473490397,0.00902649017743222,0.0033311843872070312,0.0018854815757724701,gini,3,20,90,30,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 90, 'n_estimators': 30}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7147147147147147,0.7147147147147147,0.7125748502994012,0.7140014265762767,0.0010087417592586664
12,0.06995948155721028,0.011504606537623873,0.00467379887898763,0.0017123805090490144,gini,3,20,90,50,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 90, 'n_estimators': 50}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7177177177177178,0.7147147147147147,0.718562874251497,0.7169984355613098,0.001651283959131455
